# AeroScout
parameter,independent_variables,3
alpha[deg],beta[deg],rudder[deg],Cx,Cy,Cz,Cl,Cm,Cn
-13.333333333333,10.0,-12.5,-0.004382865768,-0.034837079404,-0.001467502974,-0.001767309812,-0.001787570923,0.016255209557
-13.333333333333,10.0,-6.25,-0.001521182475,-0.017593301017,-0.000780751792,-0.000891896961,-0.001293250773,0.00819731339
-13.333333333333,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-13.333333333333,10.0,6.25,-0.001532769496,0.017243469598,0.001182799427,0.000868431255,0.003726035879,-0.008034461411
-13.333333333333,10.0,12.5,-0.004369672357,0.033740413684,0.002401659638,0.001694252112,0.00813088693,-0.01573968584
-13.333333333333,10.0,18.75,-0.007916873363,0.047425283506,0.003506361184,0.002374701117,0.012558727861,-0.02221702185
-13.333333333333,10.0,25.0,-0.011863260909,0.059079892065,0.004522957144,0.002950282859,0.016937136856,-0.027812218768
-13.333333333333,15.0,-25.0,-0.010392822491,-0.062954096162,0.003043577375,-0.003543997848,0.013372925231,0.029676230478
-13.333333333333,15.0,-18.75,-0.006717316926,-0.050016092488,0.002224341794,-0.002810275768,0.009440579665,0.023466064195
-13.333333333333,15.0,-12.5,-0.003502830762,-0.035170258555,0.00141448864,-0.001971613172,0.005738731107,0.016432416805
-13.333333333333,15.0,-6.25,-0.001108746762,-0.017745701145,0.000634111092,-0.000991640955,0.002197020735,0.008280353888
-13.333333333333,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-13.333333333333,15.0,6.25,-0.001920848634,0.017280411883,-0.00015155967,0.000955784082,0.000399998933,-0.008067310458
