# AeroScout
parameter,independent_variables,2
alpha[deg],qbar,Cx,Cy,Cz,Cl,Cm,Cn
16.666666666667,0.006991370104,0.006442480046,-0.0,-0.018210880056,0.0,-0.083005117051,0.0
16.666666666667,0.008739212631,0.008342872738,0.0,-0.022949411839,0.0,-0.104192686564,-0.0
20.0,-0.008739212631,-0.00819246255,0.0,0.021113500227,0.0,0.103692416743,-0.0
20.0,-0.006991370104,-0.006786827223,0.0,0.017041306809,-0.0,0.083304175035,-0.0
20.0,-0.005243527578,-0.005267540173,0.0,0.012896271927,0.0,0.062747103101,-0.0
20.0,-0.003495685052,-0.003631877367,0.0,0.008675970798,0.0,0.042014883292,-0.0
20.0,-0.001747842526,-0.001877009125,0.0,0.004378004453,0.0,0.021101251957,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.001747842526,0.002002191289,-0.0,-0.004460389164,-0.0,-0.021295026659,-0.0
20.0,0.003495685052,0.004132711886,0.0,-0.009005483174,-0.0,-0.042789926717,-0.0
20.0,0.005243527578,0.006394814778,0.0,-0.01363757556,0.0,-0.064490743213,0.0
20.0,0.006991370104,0.008791858716,-0.0,-0.018358933149,-0.0,-0.086403463347,0.0
20.0,0.008739212631,0.011327308091,0.0,-0.02317179602,-0.0,-0.108534018422,0.0
