# AeroScout
parameter,independent_variables,2
alpha[deg],pbar,Cx,Cy,Cz,Cl,Cm,Cn
-16.666666666667,0.113882733693,0.007065129947,-0.008931432801,0.007477404983,-0.067151732567,-0.003436252029,0.018275801288
-13.333333333333,-0.113882733693,0.006613877124,0.007119636282,0.005040295218,0.063692291745,-0.004330857709,-0.013157007187
-13.333333333333,-0.091106186954,0.004234243255,0.005693872748,0.003242610799,0.050854411257,-0.002748210516,-0.010508649091
-13.333333333333,-0.068329640216,0.002382388459,0.004269742953,0.001831414801,0.038082860163,-0.001535397491,-0.00787169175
-13.333333333333,-0.045553093477,0.00105904573,0.002846347278,0.000816346882,0.025360998001,-0.000679033297,-0.005243173565
-13.333333333333,-0.022776546739,0.000264793156,0.001423166256,0.000204446539,0.012672230468,-0.000169249311,-0.002620210749
-13.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-13.333333333333,0.022776546739,0.000264793156,-0.001423166256,0.000204446539,-0.012672230468,-0.000169249311,0.002620210749
-13.333333333333,0.045553093477,0.00105904573,-0.002846347278,0.000816346882,-0.025360998001,-0.000679033297,0.005243173565
-13.333333333333,0.068329640216,0.002382388459,-0.004269742953,0.001831414801,-0.038082860163,-0.001535397491,0.00787169175
-13.333333333333,0.091106186954,0.004234243255,-0.005693872748,0.003242610799,-0.050854411257,-0.002748210516,0.010508649091
-13.333333333333,0.113882733693,0.006613877124,-0.007119636282,0.005040295218,-0.063692291745,-0.004330857709,0.013157007187
-10.0,-0.113882733693,0.006889488113,0.006858984357,0.005943089972,0.060665399135,0.00343588518,-0.008872180029
-10.0,-0.091106186954,0.004093361099,0.005411604896,0.002112319506,0.048615628757,-0.002035717439,-0.007084621955
-10.0,-0.068329640216,0.002394306269,0.004208629386,0.001699210259,0.03638217221,0.000129496961,-0.005366400738
-10.0,-0.045553093477,0.000990538136,0.002841112164,0.00027084759,0.024317329865,-0.001182747422,-0.00360168902
-10.0,-0.022776546739,0.000252793507,0.001496064049,8.934631e-05,0.012147326785,-0.000241823504,-0.001831514923
-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.0,0.022776546739,0.000252793507,-0.001496064049,8.934631e-05,-0.012147326785,-0.000241823504,0.001831514923
-10.0,0.045553093477,0.000990538136,-0.002841112164,0.00027084759,-0.024317329865,-0.001182747422,0.00360168902
-10.0,0.068329640216,0.002394306269,-0.004208629386,0.001699210259,-0.03638217221,0.000129496961,0.005366400738
-10.0,0.091106186954,0.004093361099,-0.005411604896,0.002112319506,-0.048615628757,-0.002035717439,0.007084621955
-10.0,0.113882733693,0.006889488113,-0.006858984357,0.005943089972,-0.060665399135,0.00343588518,0.008872180029
-6.666666666667,-0.113882733693,0.007024075738,0.008756257973,0.005200746606,0.058840851333,0.006892282334,-0.005771313434
-6.666666666667,-0.091106186954,0.004494112268,0.006938043139,0.003377415447,0.046961609598,0.004518186457,-0.004580041962
-6.666666666667,-0.068329640216,0.0025244583,0.005250916777,0.001901471415,0.03515643003,0.002538854744,-0.003450607623
-6.666666666667,-0.045553093477,0.001121276379,0.003534195663,0.00084826878,0.023406726136,0.001133939158,-0.00231260291
-6.666666666667,-0.022776546739,0.00028031061,0.00179549463,0.000212378615,0.011694122501,0.000283810205,-0.001167907553
-6.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
