# AeroScout
parameter,independent_variables,3
alpha[deg],beta[deg],aileron[deg],Cx,Cy,Cz,Cl,Cm,Cn
-13.333333333333,-5.0,20.0,-0.046170571527,-0.000260647014,0.002010015372,-0.119354102995,-0.05214048085,0.007703535584
-13.333333333333,0.0,-20.0,-0.055965064849,0.003240413618,0.013090785144,0.121115456768,0.025327271886,-0.008009567572
-13.333333333333,0.0,-15.0,-0.037905993633,0.002578143038,0.008726547335,0.095280507408,0.017137952704,-0.006295838898
-13.333333333333,0.0,-10.0,-0.021703333358,0.001802347897,0.004859316603,0.065914439167,0.009818219962,-0.004358130522
-13.333333333333,0.0,-5.0,-0.00861066462,0.000910753983,0.001826986978,0.033004546685,0.003909003049,-0.002192352289
-13.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-13.333333333333,0.0,5.0,-0.00861066462,-0.000910753983,0.001826986978,-0.033004546685,0.003909003049,0.002192352289
-13.333333333333,0.0,10.0,-0.021703333358,-0.001802347897,0.004859316603,-0.065914439167,0.009818219962,0.004358130522
-13.333333333333,0.0,15.0,-0.037905993633,-0.002578143038,0.008726547335,-0.095280507408,0.017137952704,0.006295838898
-13.333333333333,0.0,20.0,-0.055965064849,-0.003240413618,0.013090785144,-0.121115456768,0.025327271886,0.008009567572
-13.333333333333,5.0,-20.0,-0.046170571527,0.000260647014,0.002010015372,0.119354102995,-0.05214048085,-0.007703535584
-13.333333333333,5.0,-15.0,-0.03037100571,0.000338901745,-6.830601e-06,0.093925869542,-0.043706165814,-0.006031033673
-13.333333333333,5.0,-10.0,-0.016620813626,0.000314735254,-0.001195859309,0.064998619187,-0.032213219138,-0.004156997825
-13.333333333333,5.0,-5.0,-0.006136479943,0.000178919373,-0.001212999456,0.032555221358,-0.017114501325,-0.002082370196
-13.333333333333,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-13.333333333333,5.0,5.0,-0.01090946854,-0.001283016801,0.004872315677,-0.032681807389,0.02493368508,0.002046965781
-13.333333333333,5.0,10.0,-0.026169086304,-0.002577124725,0.010965376676,-0.065282626233,0.051892510718,0.004050871587
