# AeroScout
parameter,independent_variables,2
alpha[deg],rbar,Cx,Cy,Cz,Cl,Cm,Cn
13.333333333333,0.006326818538,2.63919e-06,0.000950669761,-7.94817e-06,0.00134555885,-8.434155e-06,-0.000623629632
13.333333333333,0.012653637077,1.1155971e-05,0.001919751961,-3.307093e-05,0.002692152784,-3.7410574e-05,-0.001255602441
13.333333333333,0.018980455615,2.57036e-05,0.002892662375,-7.6098497e-05,0.004038770937,-8.877595e-05,-0.00188928252
16.666666666667,-0.018980455615,1.8098946e-05,-0.002838863269,-7.9727976e-05,-0.004591454828,-0.000100867264,0.001804359392
16.666666666667,-0.012653637077,1.4778576e-05,-0.001884982383,-5.1508835e-05,-0.003060350056,-4.1699046e-05,0.001199381986
16.666666666667,-0.006326818538,1.39522e-06,-0.000938911913,-7.617447e-06,-0.001529861115,-1.0605169e-05,0.000598029659
16.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.666666666667,0.006326818538,1.39522e-06,0.000938911913,-7.617447e-06,0.001529861115,-1.0605169e-05,-0.000598029659
16.666666666667,0.012653637077,1.4778576e-05,0.001884982383,-5.1508835e-05,0.003060350056,-4.1699046e-05,-0.001199381986
16.666666666667,0.018980455615,1.8098946e-05,0.002838863269,-7.9727976e-05,0.004591454828,-0.000100867264,-0.001804359392
20.0,-0.018980455615,3.1009045e-05,-0.003005538626,-0.000125193007,-0.005118169325,-0.0001285256,0.001837398298
20.0,-0.012653637077,1.3501418e-05,-0.002001525588,-5.5616033e-05,-0.003412072799,-5.7067059e-05,0.001223936149
20.0,-0.006326818538,3.317055e-06,-0.00099987283,-1.3896105e-05,-0.001706024236,-1.4247925e-05,0.000611563565
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.006326818538,3.317055e-06,0.00099987283,-1.3896105e-05,0.001706024236,-1.4247925e-05,-0.000611563565
20.0,0.012653637077,1.3501418e-05,0.002001525588,-5.5616033e-05,0.003412072799,-5.7067059e-05,-0.001223936149
20.0,0.018980455615,3.1009045e-05,0.003005538626,-0.000125193007,0.005118169325,-0.0001285256,-0.001837398298
